S.No,Module,Activity,Type,Owner,Status,Priority,Dependency,Notes
209,Load & Performance,Baseline: 60 concurrent users + 800 EPs,QA,QA Engineer,Not Started,P0,208,Page load < 3s. API < 1s.
210,Load & Performance,Peak: 80 concurrent users,QA,QA Engineer,Not Started,P0,208,No 502/504 errors
211,Load & Performance,3-month projection: 80 concurrent + 1200 EPs,QA,QA Engineer,Not Started,P0,208,Map with 1200 pins < 5s
212,Load & Performance,1-year projection: 150 concurrent + 2000 EPs,QA,QA Engineer,Not Started,P1,208,
213,Load & Performance,Stress test: 200 concurrent (breaking point),QA,QA Engineer,Not Started,P1,208,Document max before degradation
214,Load & Performance,Database index optimization,Backend,Tech Lead,Not Started,P0,208,No full table scans on 30K+ records
215,Load & Performance,Map rendering: 2000 EP pins + 500 village pins,QA,QA Engineer,Not Started,P1,208,Clustering + zoom smooth
216,QA & TDD,Unit tests: 28 calculated field formulas,QA,QA Engineer,Not Started,P0,,BRD F-CALC-001 to 028
217,QA & TDD,Integration tests: 14 cross-module data flows,QA,QA Engineer,Not Started,P0,,BRD F-FLOW-001 to 014
218,QA & TDD,E2E: Fessociate 25-step journey,QA,QA Engineer,Not Started,P0,,BRD E2E-FES-001 to 025
219,QA & TDD,E2E: Core Team IT 12-step journey,QA,QA Engineer,Not Started,P0,,BRD E2E-CIT-001 to 012
220,QA & TDD,E2E: Designer 8-step journey,QA,QA Engineer,Not Started,P0,,BRD E2E-DES-001 to 008
221,QA & TDD,E2E: SELCO 6-step journey,QA,QA Engineer,Not Started,P0,,BRD E2E-SEL-001 to 006
222,QA & TDD,E2E: District Coordinator 6-step journey,QA,QA Engineer,Not Started,P0,,BRD E2E-DC-001 to 006
223,QA & TDD,E2E: Core Team Program 8-step journey,QA,QA Engineer,Not Started,P0,,BRD E2E-CTP-001 to 008
224,QA & TDD,Conditional logic tests: 18 scenarios,QA,QA Engineer,Not Started,P0,,BRD F-COND-001 to 018
225,QA & TDD,Intervention bridging tests: 8 scenarios,QA,QA Engineer,Not Started,P0,,BRD F-BRIDGE-001 to 008
226,QA & TDD,Standard validation tests: 24 rules,QA,QA Engineer,Not Started,P0,,BRD SV-DATE through SV-SQL
227,QA & TDD,UI/UX tests: 18 design system compliance,QA,QA Engineer,Not Started,P0,,BRD UI-DS through UI-NAV
228,QA & TDD,Dashboard data reconciliation tests,QA,QA Engineer,Not Started,P0,,BRD SV-DASH-001 to 003
229,QA & TDD,Test automation setup (Cypress or Playwright),QA,QA Engineer,Not Started,P0,,CI/CD integration
230,QA & TDD,Regression test suite,QA,QA Engineer,Not Started,P0,229,Run on every PR
231,UAT & Go-Live,UAT environment setup,DevOps,DevOps,Not Started,P0,,Separate from staging
232,UAT & Go-Live,UAT test scripts (derived from BRD E2E tests),QA,QA Engineer,Not Started,P0,"218-228",
233,UAT & Go-Live,Client UAT: MBMA team,QA,PM,Not Started,P0,232,
234,UAT & Go-Live,Bug fixing sprint (post-UAT),Backend,Tech Lead,Not Started,P0,233,
235,UAT & Go-Live,Production deployment,DevOps,DevOps,Not Started,P0,234,
236,UAT & Go-Live,DNS + SSL for production domain,DevOps,DevOps,Not Started,P0,235,
237,UAT & Go-Live,Data migration: Google Sheets -> Frappe,Backend,Backend Dev,Not Started,P0,235,Legacy 32-framework data
238,UAT & Go-Live,User onboarding: 80 fellows + coordinators,Documentation,PM,Not Started,P0,236,
239,UAT & Go-Live,Training sessions for field users,Documentation,PM,Not Started,P0,238,
240,UAT & Go-Live,Go-live sign-off from MBMA,Documentation,PM,Not Started,P0,239,
